word,meaning,n,ke,te,inte,nice,ice,ine,ene,cn,she,ixe,esis,ese,summ
ge,the letter G,0,0,12,0,0,0,0,0,0,0,0,0,0,12
leyener,reader,11,1,0,0,0,0,0,0,0,0,0,0,0,12
prezident,presidential,12,0,0,0,0,0,0,0,0,0,0,0,0,12
mitarbeter,co-worker,11,0,0,0,0,0,0,0,0,0,0,0,0,11
eyd,witness,1,0,0,0,0,0,0,10,0,0,0,0,0,11
get,divorce,10,0,1,0,0,0,0,0,0,0,0,0,0,11
forshteyer,president; representative,11,0,0,0,0,0,0,0,0,0,0,0,0,11
grinder,founder,10,0,0,0,0,0,0,0,0,0,0,0,0,10
hirsh,has diminutive,2,8,0,0,0,0,0,0,0,0,0,0,0,10
kat,executioner,10,0,0,0,0,0,0,0,0,0,0,0,0,10
kener,plural in -n,10,0,0,0,0,0,0,0,0,0,0,0,0,10
kope,kick,0,4,6,0,0,0,0,0,0,0,0,0,0,10
krist,Christian woman,10,0,0,0,0,0,0,0,0,0,0,0,0,10
kurator,curator,10,0,0,0,0,0,0,0,0,0,0,0,0,10
redaktor,editor,9,0,0,0,0,0,0,0,0,1,0,0,0,10
servet,has diminutive,0,10,0,0,0,0,0,0,0,0,0,0,0,10
ber,bearish,0,3,2,4,0,0,0,0,0,0,0,0,0,9
brilyant,adjectival form with -n,0,0,0,0,0,0,0,9,0,0,0,0,0,9
dokter,doctor (occupation),5,1,0,0,0,0,0,0,0,3,0,0,0,9
lektor,lecturer,9,0,0,0,0,0,0,0,0,0,0,0,0,9
oytor,author,9,0,0,0,0,0,0,0,0,0,0,0,0,9
ambasador,ambassador,8,0,0,0,0,0,0,0,0,0,0,0,0,8
de,the letter D,0,7,0,0,0,0,0,0,0,1,0,0,0,8
kandidat,candidate,4,4,0,0,0,0,0,0,0,0,0,0,0,8
farkoyfer,merchant,8,0,0,0,0,0,0,0,0,0,0,0,0,8
samet,velvet,0,0,0,0,0,0,0,8,0,0,0,0,0,8
shnit,cut,1,7,0,0,0,0,0,0,0,0,0,0,0,8
dertsier,educational,8,0,0,0,0,0,0,0,0,0,0,0,0,8
veyts,wheaten,0,0,6,0,0,0,0,2,0,0,0,0,0,8
aynvoyner,resident,8,0,0,0,0,0,0,0,0,0,0,0,0,8
