word,meaning,in,ke,te,inte,nice,ice,ine,ene,cn,she,ixe,es/is,ese,общее,
agent,agent,1,1,0,0,0,0,0,0,0,0,0,0,0,2,
meyukhes,aristocratic descent (a man of aristocratic descent),0,0,0,0,0,0,0,0,0,0,0,2,0,2,
mekler,"broker, agent",2,0,0,0,0,0,0,0,0,0,0,0,0,2,
opshprekher,curse remover (male),0,2,0,0,0,0,0,0,0,0,0,0,0,2,
firsht,duke,2,0,0,0,0,0,0,0,0,0,0,0,0,2,
nar,fool,0,0,0,1,0,0,0,0,0,0,0,1,0,2,
gubernator,governor (of a political body),1,0,0,0,0,0,0,0,0,1,0,0,0,2,
imigrant,immigrant,0,2,0,0,0,0,0,0,0,0,0,0,0,2,
oystaytsher,interpreter,2,0,0,0,0,0,0,0,0,0,0,0,0,2,
martirer,martyr,1,0,0,0,0,0,0,0,0,1,0,0,0,2,
merder,murderer; assasin,1,0,0,0,0,0,0,0,0,1,0,0,0,2,
druker,printer,1,1,0,0,0,0,0,0,0,0,0,0,0,2,
diner,servant,2,0,0,0,0,0,0,0,0,0,0,0,0,2,
shames,"shames, assistant to the rabbi in a synagouge; beadle",0,0,2,0,0,0,0,0,0,0,0,0,0,2,
shklaf,slave,2,0,0,0,0,0,0,0,0,0,0,0,0,2,
kremer,storekeeper (male),1,1,0,0,0,0,0,0,0,0,0,0,0,2,
shnayder,tailor (male),2,0,0,0,0,0,0,0,0,0,0,0,0,2,
shraybmashin,typewriter,0,2,0,0,0,0,0,0,0,0,0,0,0,2,
bazukher,visitor,2,0,0,0,0,0,0,0,0,0,0,0,0,2,
publitsist,writer of current public affairs; pamphleteer; columnist,2,0,0,0,0,0,0,0,0,0,0,0,0,2,
anarkhist,anarchist,0,1,0,0,0,0,0,0,0,0,0,0,0,1,
bandit,"bandit, gangster",0,1,0,0,0,0,0,0,0,0,0,0,0,1,
baron,baron,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
shnorer,"beggar; sponger, moocher, parasite",1,0,0,0,0,0,0,0,0,0,0,0,0,1,
bashaf,Creation,0,0,0,0,0,0,0,1,0,0,0,0,0,1,
farbrekher,criminal,0,0,0,0,0,0,0,0,0,1,0,0,0,1,
tayvl,"devil, fiend",0,0,0,0,0,0,0,0,0,1,0,0,0,1,
soyne,enemy,0,0,0,0,0,0,0,0,0,1,0,0,0,1,
fisher,fisherman,0,0,0,0,0,0,0,0,0,1,0,0,0,1,
shmendrik,"fool; inept person, nincompoop",0,0,1,0,0,0,0,0,0,0,0,0,0,1,
felsher,forger,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
general,general,0,0,0,0,0,0,0,0,0,1,0,0,0,1,
grikh,Greek,0,0,0,0,0,0,0,0,0,0,0,1,0,1,
shoykhet,kosher butcher,0,1,0,0,0,0,0,0,0,0,0,0,0,1,
ligner,liar,0,1,0,0,0,0,0,0,0,0,0,0,0,1,
mansparshoyn,"man, manly person",0,0,1,0,0,0,0,0,0,0,0,0,0,1,
mitglid,member (of a group),1,0,0,0,0,0,0,0,0,0,0,0,0,1,
klezmer,musician,0,1,0,0,0,0,0,0,0,0,0,0,0,1,
observator,observer,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
orator,orator,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
khlop,peasant,0,0,0,0,0,0,0,0,0,0,0,1,0,1,
apteyker,"pharmacist, druggist",1,0,0,0,0,0,0,0,0,0,0,0,0,1,
filosof,philosopher,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
pioner,pioneer,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
dales,"poverty, squalor",0,0,0,0,0,0,0,0,0,0,0,1,0,1,
fartreter,representative; substitue; proxy,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
redner,"speaker, talker",1,0,0,0,0,0,0,0,0,0,0,0,0,1,
vevrik,squirrel; urchin,0,0,0,0,0,0,0,0,0,0,0,1,0,1,
toter,Tatar,0,0,0,0,0,0,0,0,0,1,0,0,0,1,
