word,meaning,in,ke,te,inte,nice,itse,ine,ene,cn,she,ixe,esis,ese,tshke,summ
bal,wonder worker,0,2,5,0,0,0,0,0,0,0,0,0,0,0,7
rikhter,judge,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7
bal,lustful person,0,2,5,0,0,0,0,0,0,0,0,0,0,0,7
bal,prayer leader,0,2,5,0,0,0,0,0,0,0,0,0,0,0,7
bal,philanthropist,0,2,5,0,0,0,0,0,0,0,0,0,0,0,7
zoger,reciter,5,2,0,0,0,0,0,0,0,0,0,0,0,0,7
bur,ignoramus,1,5,0,0,0,0,0,0,0,0,0,0,0,0,6
doktor,doctor (holder of title),1,0,0,0,0,0,0,0,0,5,0,0,0,0,6
folklorist,folklorist,1,5,0,0,0,0,0,0,0,0,0,0,0,0,6
geber,giver,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6
hendler,merchant,5,1,0,0,0,0,0,0,0,0,0,0,0,0,6
kemfer,fighter,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6
farmitler,proxy; agent; go-between,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6
partner,domestic partner,3,1,0,0,0,0,0,0,0,2,0,0,0,0,6
korespondent,correspondent,4,2,0,0,0,0,0,0,0,0,0,0,0,0,6
shpiler,performer,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6
tsigayner,Gypsy,4,0,0,0,0,0,0,0,0,2,0,0,0,0,6
yidishist,Yiddishist,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6
vortzoger,spokesman,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6
aspirant,doctoral student,1,4,0,0,0,0,0,0,0,0,0,0,0,0,5
betler,beggar,3,2,0,0,0,0,0,0,0,0,0,0,0,0,5
biblyoteker,librarian,4,0,0,0,0,0,0,0,0,1,0,0,0,0,5
kompozitor,composer,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5
komunist,communist,1,4,0,0,0,0,0,0,0,0,0,0,0,0,5
porets,landowner,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5
revolutsyoner,revolutionary (person),0,5,0,0,0,0,0,0,0,0,0,0,0,0,5
shadkhn,matchmaker,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5
ziger,winner,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5
arbeter,worker,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4
biblyograf,bibliographer,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4
birger,citizen,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4
badiner,servant; attendant,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4
daytsh,deutch,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4
feminist,feminist,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4
gabe,charity overseer (Jewish religious functionary),0,0,4,0,0,0,0,0,0,0,0,0,0,0,4
ayngeyer,attendee; guest,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4
goy,Christian man; nation,0,0,2,0,0,0,0,0,0,2,0,0,0,0,4
mitgrinder,co-founder,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4
her,Mister; gentleman source: Harduf,1,0,1,0,0,0,0,1,0,1,0,0,0,0,4
kelner,waiter,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4
koleg,coallegue,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4
kremer,storekeeper,1,3,0,0,0,0,0,0,0,0,0,0,0,0,4
meys,dead person,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4
noyef,adulterer; lecher,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4
organizator,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4
oyfpaser,protector,1,3,0,0,0,0,0,0,0,0,0,0,0,0,4
pedagog,pedagogic,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4
parshoyn,person,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4
shakh,Shah,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4
shtitser,supporter; sponsor,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4
sotsyalist,socialist,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4
spetsyalist,specialist,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4
